category,question,options,correct
"القرآن","لماذا نادى الله تعالى اليهودَ ناسبًا إياهم إلى أبيهم إسرائيل (يعقوب) عليه السلام؟","لتذكيرهم بتاريخهم القديم فقط, لتهييجهم باسم جدهم ليتبعوا الحق كما كان أبوهم, للتفريق بينهم وبين النصارى في الخطاب, للإشارة إلى أصلهم العرقي فقط","لتهييجهم باسم جدهم ليتبعوا الحق كما كان أبوهم"
"القرآن","كيف يكون القرآن مصدقًا للكتب السابقة؟","لأن القرآن أخبر أن الأنبياء السابقين صادقون وأنزل عليهم الكتب, لأن الأنبياء السابقين أخبروا بمجيء القرآن ومحمد صلى الله عليه وسلم فظهر كما قالوا, لأن القرآن وافق الكتب السابقة في أصول العقيدة كالتوحيد وذكر الدار الآخرة, كل ما سبق صحيح","كل ما سبق صحيح"
"القرآن","صاحب المعصية إذا رأى غيره يفعلها؛ هل يسكت عنه؟","نعم، لأنه لا يحق له النهي عن شيء وهو يفعله, نعم، لأن الأمر بالمعروف يسقط عن مرتكب المعصية, لا، فالأمر بالمعروف واجب عليه حتى لو كان عاصياً, لا، لكن عليه أولاً أن يترك المعصية ثم ينهى غيره عنها","لا، فالأمر بالمعروف واجب عليه حتى لو كان عاصياً"
"القرآن","ما الذي ينبغي على المسلمين أن يفعلوه حالة النصر والفوز والظفر؟","الفخر بالانتصار والإعلان عن قوتهم, الخضوع لله وشكره والاعتراف بفضله, الانشغال بالاحتفال والفرح فقط, الاكتفاء بالدعاء بالنصر مستقبلاً","الخضوع لله وشكره والاعتراف بفضله"
"القرآن","ما الحكمة في أمر الله تعالى لبني إسرائيل بذبح بقرة؟","كانت عقوبة لهم على ذنب ارتكبوه, لاختبار طاعتهم فقط دون حكمة أخرى, لأنهم كانوا يقدسون البقرة ويعبدون العجل، فأراد الله تعالى تهوين ذلك في نفوسهم, لإظهار معجزة إحياء الموتى من خلال البقرة","لأنهم كانوا يقدسون البقرة ويعبدون العجل، فأراد الله تعالى تهوين ذلك في نفوسهم"
"القرآن","لماذا كانت الذلة والمسكنة عقوبة مناسبة لمعاصي بني إسرائيل؟","لأنها العقوبة المناسبة لكل أمة عاصية, لأنها تناسب فقط الأمم الكافرة, لأن معاصيهم كانت تدل على قلة صبرهم واحتقارهم لأوامر الله ونعمه، فعوقبوا من جنس عملهم, لأن هذه العقوبة هي الأشد قسوة من بين العقوبات المختلفة","لأن معاصيهم كانت تدل على قلة صبرهم واحتقارهم لأوامر الله ونعمه، فعوقبوا من جنس عملهم"
"القرآن","انتقال بني إسرائيل من المعاصي الصغيرة إلى الكفر وقتل الأنبياء يفيد:","أن الكفر وقتل الأنبياء من صغائر الذنوب, أن إدمان المعاصي يفضي إلى التغلغل فيها والانتقال من أصغرها إلى أكبرها, أن المعاصي كلها متساوية في العقاب, أن الله تعالى لا يغفر جميع أنواع المعاصي","أن إدمان المعاصي يفضي إلى التغلغل فيها والانتقال من أصغرها إلى أكبرها"
"القرآن","إلى ماذا يشير أخذ ما أنزل الله بقوة في الآية؟","إلى الجد والاجتهاد وعدم التكاسل والتغافل, إلى القوة البدنية والشدة في التعامل مع الآخرين, إلى القوة العسكرية وأخذ الحق بالقوة, إلى قوة الإرادة فقط دون العمل","إلى الجد والاجتهاد وعدم التكاسل والتغافل"
"القرآن","على ماذا يدل قول قوم موسى (الآن جئت بالحق)؟","على أن موسى عليه السلام كان يخفي عنهم الحقيقة في البداية, على جهلهم، لأن موسى جاءهم بالحق من البداية, على أن الحق لم يتضح لهم إلا بعد سلسلة من الأسئلة, على أن موسى عليه السلام أخطأ في الشرح لهم من البداية","على جهلهم، لأن موسى جاءهم بالحق من البداية"
"القرآن","في قوله تعالى: {فَوَيۡلٞ لِّلَّذِينَ يَكۡتُبُونَ ٱلۡكِتَٰبَ بِأَيۡدِيهِمۡ ثُمَّ يَقُولُونَ هَٰذَا مِنۡ عِندِ ٱللَّهِ لِيَشۡتَرُواْ بِهِۦ ثَمَنٗا قَلِيلٗاۖ}، من حرف نص الكتاب أو معناه فهو ظالم من جهتين. ما هما؟","تلبيس الدين على الناس وأخذ أموالهم بالباطل, تعطيل نشر العلم ومنع التعليم, التكبر على الناس والاستهزاء بالعلماء, الكسل في طلب العلم والإهمال في التعلم","تلبيس الدين على الناس وأخذ أموالهم بالباطل"
"القرآن","ماذا اجمع اليهود والنصارى في الاختلاف؟","كلٌّ يعتقد أن الله لن يدخل غيرهم الجنة,كلٌّ يريد أن تكون الأمة الإسلامية تابعة له,كلٌّ ينكر دين الآخر ويزعم أنه ليس على حق,كلٌّ يتهم الآخر بالضلال رغم تلاوتهم للكتاب","كلٌّ ينكر دين الآخر ويزعم أنه ليس على حق وكلٌّ يتهم الآخر بالضلال رغم تلاوتهم للكتاب"
"القرآن","الي اين يجر الهوي صاحبه؟","يهدي الي الطريق الصحيح,دخول الجنة,يهدي الي التهلكة,ارضاء الناس","يهدي الي التهلكة"
"القرآن","ما المقصود بتضييع المسجد؟","الارشاد الخاطيء لموقع المسجد,جعله مكانًا للاجتماعات العامة فقط,هدم المسجد,منع الذكر والعبادة","هدم المسجد ومنع الذكر والعبادة"
"القرآن","هل تضييع المسجد من علامات قيام الساعة؟","نعم,لا","نعم"
"القرآن","متي تكون الاسالة الشرعية محمودة؟","عندما يكثر منها الشخص دون حاجة,عندما تكون للتعلم و الاستفادة,عندما تكون للتعنت و الاعتراض,عندما تكون في الأمور التافهة فقط","عندما تكون للتعلم و الاستفادة"
"القرآن","لماذا امر الله اهل اليهود ان يتمنوا الموت؟","للهروب من عذاب الله لهم في الدنيا,لأنهم كانوا يطلبون الموت دائمًا,لأن اهل الجنة الاخرة احب لهم من الدنيا,لأن الله يكرههم","لأن اهل الجنة الاخرة احب لهم من الدنيا"
"القرآن","سبب كفر اليهود هو","غباءهم,جهلهم,ذكاءهم,تعندهم","تعندهم"
"القرآن","في قوله تعالى (۞ مَا نَنسَخْ مِنْ ءَايَةٍ أَوْ نُنسِهَا نَأْتِ بِخَيْرٍۢ مِّنْهَآ أَوْ مِثْلِهَآ ۗ أَلَمْ تَعْلَمْ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌ ١٠٦) ما معنى كلمة نَنسَخْ في الآية؟","كتابة,ازالة,رفع,نقل","رفع"
"القرآن","في قوله تعالى (قُلْ إِن كَانَتْ لَكُمُ ٱلدَّارُ ٱلْـَٔاخِرَةُ عِندَ ٱللَّهِ خَالِصَةًۭ مِّن دُونِ ٱلنَّاسِ فَتَمَنَّوُا۟ ٱلْمَوْتَ إِن كُنتُمْ صَـٰدِقِينَ) ما معنى كلمة خَالِصَةًۭ في الآية؟","مخلصة,خالية,خاصة لا يشارك فيها احد,مملوءة","خاصة لا يشارك فيها احد"
"القرآن","في قوله تعالى (أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَـٰبِ وَتَكْفُرُونَ بِبَعْضٍۢ) كيف ترد على من يدعي الإيمان وهو لا يعمل بأحكام الإسلام؟","\"\"العمل ليس شرطًا في الإيمان، فالله غفور رحيم\"\",\"\"من آمن ببعض الكتاب وكفر ببعض فهو منافق، ويستحق الخزي في الدنيا والآخرة\"\",\"\"الإيمان قول باللسان فقط، ولا حاجة للعمل به\"\",\"\"الأعمال الصالحة تكمل الإيمان، لكن تركها لا يؤثر عليه\"\"","\"\"من آمن ببعض الكتاب وكفر ببعض فهو منافق، ويستحق الخزي في الدنيا والآخرة\"\""
القرآن,متى يرضى عنك اليهود والنصارى؟,"إذا تمسكت بدينك بإخلاص,إذا عاملتهم بالحسنى فقط,إذا دعوتهم إلى الإسلام,بترك ما أنت عليه من الإسلام واتباعهم",بترك ما أنت عليه من الإسلام واتباعهم
القرآن,ما المراد بالحكمة في قوله تعالى{ رَبَّنَا وَٱبۡعَثۡ فِیهِمۡ رَسُولࣰا مِّنۡهُمۡ یَتۡلُوا۟ عَلَیۡهِمۡ ءَایَـٰتِكَ وَیُعَلِّمُهُمُ ٱلۡكِتَـٰبَ وَٱلۡحِكۡمَةَ وَیُزَكِّیهِمۡۖ إِنَّكَ أَنتَ ٱلۡعَزِیزُ ٱلۡحَكِیمُ },"العقل والمنطق,السنة,العلم الدنيوي,أقوال الفلاسفة",السنة
القرآن,"قال الفضيل: ترك العمل لأجل الناس ..... والعمل من أجل الناس ..... و...... أن يعافيك الله منهما","رياء، شرك، الإخلاص,الإخلاص ، شرك ، رياء,شرك ، رياء ، الإخلاص","رياء، شرك، الإخلاص"
القرآن,ما سبب مواقف الكفار والمنافقين وشبهاتهم؟,"جهلهم التام بالقرآن,حبهم للدنيا فقط,فرط عنادهم,رغبتهم في المعرفة",فرط عنادهم
القرآن,---- التهليل ثمرته ---- والتكبير ثمرته,"التعظيم ، لتوحيد,المغفرة، الثواب,التوحيد، التعظيم,الشكر ، المغفرة","التوحيد، التعظيم"
القرآن,----- المحن ---- ولا,"تبقى، تزول,تحزن، تفرّح,تمحص، تهلك","تمحص، تهلك"
القرآن,ما أعظم جنود الله كما قال ابن عباس,"الجبال والنار,البشر والملائكة,الريح والماء,الطير والصواعق",الريح والماء
القرآن,ما هي حقيقة الشكر؟,"الدعاء الدائم,كثرة التسبيح,البذل من الطيب,التذلل و الانكسار لله عز و جل",البذل من الطيب
القرآن,من الأولى بالصدقة؟,"المساكين ثم السائلين ثم ذي القربى ثم اليتامى,ذو القربى ثم المساكين ثم اليتامى ثم السائلين ثم ابن السبيل,اليتامى ثم ذو القربى ثم المساكين ثم السائلين ثم ابن السبيل,ذوو القربى ثم اليتامى ثم المساكين ثم ابن السبيل ثم السائلين,الأصدقاء",ذوو القربى ثم اليتامى ثم المساكين ثم ابن السبيل ثم السائلين
القرآن,يقول الله تعالى: كل عمل ابن آدم له إلا .... فإنه لي وأنا أجزي به,"الصلاة,الزكاة,الصوم,الحج",الصوم
القرآن,"""يكون الاعتكاف في المسجد وغير المسجد"" هل هذه العبارة:","صحيحة,خاطئة",خاطئة
القرآن,المقصود بالفتنة في قوله تعالى (والفتنة أشد من القتل),"نقل الكلام والنميمة,الإفساد بين الناس,فتنة النساء,فتن المؤمن عن دينه",فتن المؤمن عن دينه
القرآن,"هل هذه العبارة صحيحة أم خاطئة: لا تلقي بيدك إلى التهلكة وتنفق في سبيل الله وأنت محتاج ""إللي يحتاجه البيت يحرم على الجامع""","صحيحة,خاطئة",خاطئة
القرآن,هل جماع الزوجة أثناء الحج جائز؟,"يجوز,لا يجوز",لا يجوز
القرآن,ما هو خير الزاد؟,"الزوجة الصالحة,المال,التمر والماء (الأسودان),التقوى",التقوى
القرآن,(الحج أشهر معلومات) ما هي الأشهر المعلومات؟ (يمكن الاستعانة بالكتاب),"شعبان، رمضان، شوال,رمضان، شوال، عشر ذي الحجة,شوال، ذو القعدة، وعشر ذي الحجة,عشر ذي الحجة، محرم، رجب","شوال، ذو القعدة، وعشر ذي الحجة"
القرآن,وَمِنَ النَّاسِ مَن يُعْجِبُكَ قَوْلُهُ فِي الْحَيَوةِ الدُّنْيَا وَيُشْهَدُ اللَّهَ عَلَى مَا فِي قَلْبِهِ وَهُوَ الَ الْخِصَامِ استخرج الصفة المذكورة من صفات المنافق في الآية,"إذا خاصم فجر,إذا اؤتمن خان,إذا وعد أوفى",إذا خاصم فجر
القرآن,أَم حَسِبتُم أَن تَدخُلُوا الجَنَّةَ وَلَمّا يَأتِكُم مَثَلُ الَّذينَ خَلَوا مِن قَبلِكُم مَسَّتهُمُ البَأساءُ وَالضَّرّاءُ وَزُلزِلوا حَتّى يَقولَ الرَّسولُ وَالَّذينَ آمَنوا مَعَهُ مَتى نَصرُ اللَّهِ أَلا إِنَّ نَصرَ اللَّهِ قَريبٌ على ما حثت الآية الكريمة؟,"صبر وتحمل البلاء في سبيل الله واحتساب الأجر واليقين بإن وعد الله حق ونصره قريب وإن لم تره عينك؟,لقنوط واليأس لان الآية أشارت أنهم قوم مؤمنين ومعهم رسول ومع ذلك مستهم البأساء والضراء وزلزلوا؟",صبر وتحمل البلاء في سبيل الله واحتساب الأجر واليقين بإن وعد الله حق ونصره قريب وإن لم تره عينك؟
القرآن,كُتِبَ عَلَيكُمُ القِتالُ وَهُوَ كُرهٌ لَكُم وَعَسى أَن تَكرَهوا شَيئًا وَهُوَ خَيرٌ لَكُم وَعَسى أَن تُحِبّوا شَيئًا وَهُوَ شَرٌّ لَكُم وَاللَّهُ يَعلَمُ وَأَنتُم لا تَعلَمونَ ما معنى قوله تعالى كره لكم في الآية؟,"أي أنهم كرهوا أمر الله في ذاته وكرهوا إن يطيعوه فيه,أي شاق عليكم لما فيه من التعب والإرهاق والخوف وتكلفة المؤنة والنفور الطبعي عنه",أي شاق عليكم لما فيه من التعب والإرهاق والخوف وتكلفة المؤنة والنفور الطبعي عنه
القرآن,"هل هذه العبارة صحيحة؟ ﴿كُتِبَ عَلَيكُمُ القِتالُ وَهُوَ كُرهٌ لَكُم وَعَسى أَن تَكرَهوا شَيئًا وَهُوَ خَيرٌ لَكُم وَعَسى أَن تُحِبّوا شَيئًا وَهُوَ شَرٌّ لَكُم وَاللَّهُ يَعلَمُ وَأَنتُم لا تَعلَمونَ﴾ علم الله شديد السعة والعمق والدقة وقدرته مطلقة لا ينازع فيها ولا يعجزه أي أمر لذلك كان يقول الصحابة أن رسول الله صلى الله عليه وسلم كان يعلمهم الإستخارة كما يعلمهم السورة من القرآن ولذلك على المؤمن أن لا يغفل عن الإستخارة في صغير أموره قبل كبيرها لإن فيها الإفتقار وإظهار العبد عجزه إلى ربه وتعظيمه فهو عز وجل العليم القدير (""فإنك تعلم ولا أعلم وتقدر ولا اقدر وأنت علام الغيوب"")","صح,خطأ",صح
القرآن,"وَلا تَنكِحُوا المُشرِكاتِ حَتّى يُؤمِنَّ وَلَأَمَةٌ مُؤمِنَةٌ خَيرٌ مِن مُشرِكَةٍ وَلَو أَعجَبَتكُم وَلا تُنكِحُوا المُشرِكينَ حَتّى يُؤمِنوا وَلَعَبدٌ مُؤمِنٌ خَيرٌ مِن مُشرِكٍ وَلَو أَعجَبَكُم أُولئِكَ يَدعونَ إِلَى النّارِ وَاللَّهُ يَدعو إِلَى الجَنَّةِ وَالمَغفِرَةِ بِإِذنِهِ وَيُبَيِّنُ آياتِهِ لِلنّاسِ لَعَلَّهُم يَتَذَكَّرونَ هل هذه العبارة صحيحة؟: ام فلان ربة المنزل الأمية، الفقيرة، الضعيفة، التي تصلي خمسها، وتطيع زوجها خير من ملئ الأرض من فلانة المشركة ولكنها، جميلة، غنية، قوية، حاصلة على شهادات، تضيف إلى المجتمع وتخدم الإنسانية. وعم فلان العامل، البسيط، الفقير، الأمي، الذي يأكل بالحلال ولا يزيد عن الفرائض، خير من ملئ الأرض من الطبيب فلان المشرك ولكنه محترم، صاحب خلق الحسن، يساعد الناس، ويتبرع بالكثير من ماله، ويخدم الإنسانية","صحيحة,خطأ",صحيحة
القرآن,"لماذا أمر الشرع بكتابة الديون؟","لتجنب النسيان والخلافات,لأنها تسهل عملية الإقراض,لأن الكتابة واجبة في جميع المعاملات,لأنها تزيد من قيمة الدين","لتجنب النسيان والخلافات"
القرآن,"كيف ينال العبد العلم من الله تعالى؟","بالاجتهاد في الدراسة,بتوفيق الله وإلهامه نور الفهم في القلب,بالاستعانة بالكتب دون حاجة إلى توفيق إلهي,بالحفظ دون فهم","بتوفيق الله وإلهامه نور الفهم في القلب"
القرآن,"ما الذي يصلح دين الخلق ودنياهم؟","اتباع إرشادات الله التي تحقق العدل والمصلحة,الاعتماد على المشاجرات لحل النزاعات,الاهتمام بالدنيا,تجنب جميع المعاملات المالية","اتباع إرشادات الله التي تحقق العدل والمصلحة"
القرآن,"لماذا وصف أكل الربا بأنه كفار أَمِيم؟","لأنه يشبه الصدقة,لأنه يعكس جحود نعمة الله وظلم الآخرين,لأنه يساعد في تنمية الاقتصاد,لأنه حلال في بعض الظروف","لأنه يعكس جحود نعمة الله وظلم الآخرين"
القرآن,"لم خص الله تعالى الصلاة والزكاة بالذكر؟","لأن الزكاة تغني عن الصلاة,لأن الصلاة تكفي دون الزكاة,لأنهما رمزية دون فائدة عملية,لأنهما رأس الأعمال البدنية والمالية في الإسلام","لأنهما رأس الأعمال البدنية والمالية في الإسلام"
القرآن,"هل يوجد فرق بين التصدق علي الفقير في السر او العلن؟","نعم,لا","نعم"
القرآن,"{وَمَن يَكۡتُمۡهَا فَإِنَّهُۥٓ ءَاثِمٞ قَلۡبُهُۥۗ وَٱللَّهُ بِمَا تَعۡمَلُونَ عَلِيمٞ} لماذا خص الله تعالى ذكر القلب في هذه الآية؟","لأن القلب مسؤول عن التنفس,لأن القلب مجرد عضو كباقي أعضاء الجسد,لأن صلاح القلب يؤدي إلى صلاح الجسد كله,لأن القلب هو مركز المشاعر دون التأثير على الأعمال","لأن صلاح القلب يؤدي إلى صلاح الجسد كله"
القرآن,"(وَٱتَّقُوا۟ یَوۡمࣰا تُرۡجَعُونَ فِیهِ إِلَى ٱللَّهِۖ ثُمَّ تُوَفَّىٰ كُلُّ نَفۡسࣲ مَّا كَسَبَتۡ وَهُمۡ لَا یُظۡلَمُونَ) ما المقصود بكلمة (تُوَفَّىٰ)؟","المجازاة الكاملة يوم القيامة والاستيفاء الكامل والحساب الدقيق للأعمال,النوم وأخذ الروح مؤقتًا,الموت وفصل الروح عن الجسد","المجازاة الكاملة يوم القيامة والاستيفاء الكامل والحساب الدقيق للأعمال"
القرآن,"لماذا قال الله تعالى في التوراة والإنجيل ""وأنزل"" وفي القرآن ""نزَّل""؟","'لأن التوراة والإنجيل نزلتا تدريجياً والقرآن نزل جملة واحدة','لأن القرآن أفضل من الكتب السابقة','لأن التوراة والإنجيل أنزلتا جملة واحدة والقرآن نزل مفصلاً','لأن القرآن نزل في زمن متأخر عن الكتب السابقة'",لأن التوراة والإنجيل أنزلتا جملة واحدة والقرآن نزل مفصلاً
القرآن,ما الحكمة من إنزال المتشابه في القرآن الكريم؟,"'لإظهار فضل العلماء وزيادة حرصهم على الاجتهاد والتدبر','لجعل القرآن صعب الفهم على الناس','لاختبار إيمان المؤمنين فقط','لإثبات عجز البشر عن فهم كلام الله'",لإظهار فضل العلماء وزيادة حرصهم على الاجتهاد والتدبر
القرآن,"لماذا خُصَّت الشهوات بالمذكورات في آية ""زُيِّنَ لِلنَّاسِ حُبُّ ٱلشَّهَوَٰتِ""؟","'لأنها أكثر الأشياء انتشاراً في العالم','لأنها محرمة جميعاً على المؤمنين','لأنها أعظم شهوات الدنيا وغيرها تبع لها','لأنها أول ما خلقه الله تعالى في الأرض'",لأنها أعظم شهوات الدنيا وغيرها تبع لها
القرآن,بِمَ تختم أكثر العبادات حسب ما ورد في تفسير آية المستغفرين بالأسحار؟,"'بالدعاء','بالاستغفار','بالتسبيح','بالحمد'",بالاستغفار
القرآن,ما السبب الذي بينته الآية لاختلاف الذين أوتوا الكتاب؟,"'الجهل بالدين','قلة العلم والمعرفة','البغي والحسد','ضعف الإيمان'",البغي والحسد
القرآن,ماذا يترتب على اعتقاد المتكبرين أن النار لن تمسهم إلا أياماً معدودات؟,"'زيادة الخوف من الله','انعدام الاكتراث باتباع الحق والجرأة على الإعراض','زيادة التوبة والاستغفار','الاهتمام بالعبادة أكثر'",انعدام الاكتراث باتباع الحق والجرأة على الإعراض
القرآن,"إذا تبين لك علم الله بما في قلبك، فما الحالة التي يجب أن تكون عليها؟","'الخوف الشديد من الله فقط','الحياء من الله وشغل الأفكار فيما يقرب إلى الله','عدم التفكير في أي شيء','الانشغال بالدنيا وملذاتها'",الحياء من الله وشغل الأفكار فيما يقرب إلى الله
القرآن,ما أعظم الشكر لرزق الله سبحانه وتعالى؟,"'كثرة الحمد والثناء','الإنفاق في سبيل الله','معرفة العبد بأنه من الله تعالى','الصيام والقيام'",معرفة العبد بأنه من الله تعالى
القرآن,لماذا جاء الطلب بلفظ الهبة في دعاء زكريا عليه السلام؟,"'لأن الهبة أفضل من الطلب العادي','لأن الهبة إحسان محض ليس في مقابلة شيء ويناسب حالة زكريا وزوجته','لأنه تعلم هذا الدعاء من الأنبياء قبله','لأن الله أمره أن يدعو بهذا اللفظ'",لأن الهبة إحسان محض ليس في مقابلة شيء ويناسب حالة زكريا وزوجته
القرآن,لم خص الله تعالى عيسى عليه السلام بمعجزة إبراء الأكمه والأبرص؟,"'لأنها أقوى المعجزات على الإطلاق','لأن هذين داءان عياءان وكان الغالب في زمنه الطب','لأنه طلب من الله هذه المعجزة تحديداً','لأن قومه كانوا مصابين بهذين المرضين'",لأن هذين داءان عياءان وكان الغالب في زمنه الطب
القرآن,"اتصفت شريعة اليهود بصفة معينة حسب ما ورد في تفسير الآية، فما هي؟","'السهولة واليسر','الآصار والأغلال من التحريمات','قلة الأحكام والقوانين','الحرية الكاملة'",الآصار والأغلال من التحريمات
القرآن,"قال تعالى: ( وجاعل الذين اتبعوك فوق الذين كفروا إلى يوم القيامة) كيف يكون العلو؟","بالحجة وإقامة البرهان,بالعز والغلبة,جميع ما سبق",جميع ما سبق
القرآن,"ما هو أصل الصلاح وأعظم العدل على قول ابن تيمية؟","الصلاة,القضاء,التوحيد",التوحيد
القرآن,"من الذي يحق له النقاش والجدال في المسائل؟","أصحاب الشأن فقط,من لهم علم فقط,من لهم علم و أصحاب الشأن",من لهم علم و أصحاب الشأن
القرآن,"قال تعالى: ( ومن أهل الكتاب من إن تأمنه بقنطار يؤده إليك) القنطار هنا مثالا لل:","كثير,قليل",كثير
القرآن,"جاءت الأفعال بصيغة المضارع في قوله تعالى: ( وإن منهم لفريقا يلوون ألسنتهم بالكتاب لتحسبوه من الكتاب ويقولون هو من عند الله وما هو من عند الله ويقولون على الله الكذب وهم يعلمون)","للدلالة على فعلهم هذا في الوقت الحاضر,للدلالة على التجدد,للدلالة على شدة ضلالتهم",للدلالة على التجدد
